Country,Clicks,Impressions,CTR,Position
United States,4,1156,0.35%,17.03
United Kingdom,0,60,0%,16.57
Ireland,0,38,0%,25.11
Germany,0,22,0%,23.45
Netherlands,0,6,0%,6.17
France,0,5,0%,8.6
Philippines,0,5,0%,16.8
Brazil,0,4,0%,18.75
Spain,0,3,0%,9
India,0,3,0%,41.33
Turkey,0,2,0%,3.5
Indonesia,0,2,0%,4.5
Canada,0,2,0%,8.5
Malaysia,0,2,0%,14
Switzerland,0,2,0%,26
Algeria,0,1,0%,3
Thailand,0,1,0%,4
Argentina,0,1,0%,6
Chile,0,1,0%,6
St. Lucia,0,1,0%,6
Nigeria,0,1,0%,6
South Africa,0,1,0%,6
Georgia,0,1,0%,7
Japan,0,1,0%,7
Italy,0,1,0%,8
Belgium,0,1,0%,9
Jordan,0,1,0%,9
Mexico,0,1,0%,9
Serbia,0,1,0%,9
Slovakia,0,1,0%,9
Singapore,0,1,0%,11
St. Vincent & Grenadines,0,1,0%,11
Macedonia,0,1,0%,12
South Korea,0,1,0%,16
Oman,0,1,0%,19
Trinidad & Tobago,0,1,0%,19
Vietnam,0,1,0%,47
Saudi Arabia,0,1,0%,50
Austria,0,1,0%,77
Ukraine,0,1,0%,87